запрос,частотность_тип1,частотность_тип2,частотность_тип3,источник,дата
каркасный дом фахверк цена,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
сколько стоит дом фахверк,0,0,4,"Wordstat через Топвизор, регион 213",2026-08-26
сколько стоит построить фахверк,3,,0,"Wordstat через Топвизор, регион 213",2026-08-26
сколько стоит фахверковый дом,2,1,0,"Wordstat через Топвизор, регион 213",2026-08-26
строительство фахверковые дома цена,11,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк дома под ключ цена,74,13,51,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк москва цена,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк под ключ москва цена,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк под ключ цена,73,15,6,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк под ключ цена с отделкой,6,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк стоимость строительства,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк цена,65,10,2,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк цена за м2,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковые дома под ключ москва цена,,,6,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковые дома цена под ключ фото,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковый дом под ключ цена,63,17,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковый дом цена,34,22,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковый дом цена москва,,1,0,"Wordstat через Топвизор, регион 213",2026-08-26
дом фахверк одноэтажный под ключ,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковые дома проекты одноэтажные планировка стоимость,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковый одноэтажный дом купить,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дом high tech,4,,,"Wordstat через Топвизор, регион 213",2026-08-26
дом в стиле хай тек под ключ,2,1,1,"Wordstat через Топвизор, регион 213",2026-08-26
дома хайтек под ключ цена,2,,0,"Wordstat через Топвизор, регион 213",2026-08-26
загородный дом хайтек,,,,"Wordstat через Топвизор, регион 213",2026-08-26
сколько стоит построить дом хайтек,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
хайтек дом,613,14,52,"Wordstat через Топвизор, регион 213",2026-08-26
хайтек дом цена,2,1,1,"Wordstat через Топвизор, регион 213",2026-08-26
дом фахверк шале,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дом шале под ключ,124,27,19,"Wordstat через Топвизор, регион 213",2026-08-26
дом шале под ключ проекты,55,1,1,"Wordstat через Топвизор, регион 213",2026-08-26
дом шале под ключ проекты и цены,52,42,42,"Wordstat через Топвизор, регион 213",2026-08-26
дом шале фахверк,2,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
дома шале в стиле фахверк,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дома шале проекты и цены,45,1,1,"Wordstat через Топвизор, регион 213",2026-08-26
купить дом шале под ключ,5,2,2,"Wordstat через Топвизор, регион 213",2026-08-26
построить дом шале недорого под ключ цены,1,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
построить дом шале под ключ,2,1,1,"Wordstat через Топвизор, регион 213",2026-08-26
стоимость дома шале,6,2,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк проект шале,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
шале в стиле фахверк,12,1,0,"Wordstat через Топвизор, регион 213",2026-08-26
шале фахверк,15,3,2,"Wordstat через Топвизор, регион 213",2026-08-26
готовые дома в стиле фахверк,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
готовые дома фахверк,13,7,0,"Wordstat через Топвизор, регион 213",2026-08-26
готовые проекты домов фахверк,2,,0,"Wordstat через Топвизор, регион 213",2026-08-26
готовые проекты фахверковых домов,,,3,"Wordstat через Топвизор, регион 213",2026-08-26
готовые фахверковые дома,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк готовые проекты,0,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дача в стиле фахверк,1,1,0,"Wordstat через Топвизор, регион 213",2026-08-26
деревянные фахверковые дома,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
деревянный дом фахверк,4,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
дома из дерева фахверк,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
план фахверкового дома,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
современный фахверковый дом,8,13,1,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковые здания,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк дом баня,8,,2,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковые дома бани,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк с верандой,,,2,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк проект с гаражом,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дом фахверк с мансардой,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк с мансардой,,,6,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковый дом с мансардой,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дом фахверк с панорамным остеклением,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дома фахверк с панорамными окнами,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
панорамные дома фахверк,9,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
панорамный дом фахверк,9,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
проект фахверкового дома с панорамным остеклением,1,1,1,"Wordstat через Топвизор, регион 213",2026-08-26
современный фахверк с панорамными окнами,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк с панорамным остеклением,3,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк с панорамными окнами,0,,1,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковые дома панорамные,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковые дома с панорамными окнами,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дом в стиле фахверк двухэтажный с террасой,1,1,0,"Wordstat через Топвизор, регион 213",2026-08-26
дом фахверк одноэтажный с террасой,9,,3,"Wordstat через Топвизор, регион 213",2026-08-26
проект одноэтажного дома фахверк с террасой,0,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк с террасой,7,2,1,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк с террасой одноэтажный,,,,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк со вторым светом,2,0,2,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковый дом со вторым светом,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
маленький фахверковый дом,0,,0,"Wordstat через Топвизор, регион 213",2026-08-26
небольшие фахверковые дома,0,,0,"Wordstat через Топвизор, регион 213",2026-08-26
небольшой дом в стиле фахверк,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк маленький домик,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
проект дома фахверк 150 кв м,3,2,0,"Wordstat через Топвизор, регион 213",2026-08-26
проекты домов фахверк до 150 кв,0,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
проекты фахверковых домов до 150 кв м,0,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк одноэтажный 150,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк проекты домов до 150,0,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковые дома 150 м кв,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверковый дом 150 кв м,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
проект дома фахверк 200 кв м,0,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк 250 м2,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
купить фахверковый дом от производителя,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
дизайн проект фахверка,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
планировка дома фахверк,3,,0,"Wordstat через Топвизор, регион 213",2026-08-26
проект каркасного дома в стиле фахверк,7,,0,"Wordstat через Топвизор, регион 213",2026-08-26
проект фахверк,71,3,1,"Wordstat через Топвизор, регион 213",2026-08-26
проекты в стиле фахверк,10,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
проекты домов и коттеджей фахверк,0,,0,"Wordstat через Топвизор, регион 213",2026-08-26
проекты домов из клееного бруса фахверк,,,,"Wordstat через Топвизор, регион 213",2026-08-26
проекты домов фахверк москва,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
проекты каркасных домов в стиле фахверк,0,,,"Wordstat через Топвизор, регион 213",2026-08-26
проекты каркасных домов фахверк,0,,,"Wordstat через Топвизор, регион 213",2026-08-26
типовые проекты домов фахверк,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк дом проекты с планировкой,0,0,0,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк планировка,2,,1,"Wordstat через Топвизор, регион 213",2026-08-26
фахверк проекты,68,2,2,"Wordstat через Топвизор, регион 213",2026-08-26
дома фахверк от производителя,,,0,"Wordstat через Топвизор, регион 213",2026-08-26
каркасные дома под фахверк под ключ,,,,"Wordstat через Топвизор, регион 213",2026-08-26
